,questions_ru
570,"ABC Publications приобрела 50 пачек бумаги по цене 2,76 доллара за пачку со скидкой 50-10%. Дополнительная скидка в размере 1% предоставляется, если оплата будет получена в течение 10 дней с момента покупки. Какая сумма была выплачена, если была использована скидка наличными?"
571,"10 декабря магазин Shepp'S Store приобрел набор кухонных плит для кемпинга у оптовиков Wilderness за 56,65 долларов США за вычетом торговой скидки в размере 10%. Предлагаемые условия были (2/10), (n/30). Если магазин Шеппа оплатил счет 20 декабря, то какая сумма была выплачена?"
572,"Ежемесячный телефонный счет Александра в прошлом году составил в среднем 17,05 долларов, что на 10% больше, чем ежемесячная плата за предыдущий год. Какова была ежемесячная плата за предыдущий год?"
573,"Джеймс Таггер хочет покрасить стены в своей кладовой. Размеры комнаты составляют 14 на 10 на 8 (1/2) дюймов. Одной кварты краски стоимостью 9,80 долларов хватит на покрытие 36 кв. футов. Затраты на рабочую силу составляют 5 долларов за кварту или ее часть. Найдите его затраты на покраску помещения."
574,"Мистер Голден приобрел у корпорации Suttonsmith 3 облигации, каждая со сроком погашения 1000 долларов США. За каждую облигацию он будет получать по 15 долларов каждые полгода в течение 20 лет, после чего он также получит полную номинальную стоимость в размере 1000 долларов. Выплаты в размере 15 долларов будут производиться независимо от процентной ставки. Если процентная ставка по одной облигации составляла 3%, по другой - 4%, а по третьей - 3,6%, то сколько мистер Голден заплатил за каждую облигацию?"
575,"Объединенная кредитная компания получила вексель сроком на 6 месяцев на сумму 1500 долларов США с 6%-ной процентной ставкой, датированный 17 мая 1976 года. 22 сентября 1976 года вексель был обесценен на 8%. Какова была выручка?"
576,"Компания, производящая пластмассы, установила, что стоимость отходов составляет 12 долларов за 20 модулей. После этого стоимость отходов увеличивается в соответствии с функцией $4 (p - 20)^2, где p - количество произведенных модулей, превышающее 20. (i) Какова общая стоимость отходов при производстве 45 модулей? (ii) Какое количество минимизирует стоимость отходов?"
577,"В Браунингтауне вода продается домовладельцам за кубический фут по цене 15,31 доллара за объем до 3600 кубических футов включительно и по 0,15 доллара за каждые 100 кубических футов свыше 3600 кубических футов. Местные налоги на водопользование составляют 4%. Если семья Томас недавно получила счет за 35 700 кубических футов воды, сколько с них взяли?"
578,"Найдите общий заработок сотрудника, который проработал 43 часа и зарабатывает 3,00 доллара в час при продолжительности работы более 40 часов в неделю."
579,"Мистер Томас приобрел газонокосилку в рассрочку за 190 долларов. С него была взята фиксированная плата в размере 8% годовых в качестве платы за обслуживание. Если мистер Томас оплачивал газонокосилку шестью равными ежемесячными платежами, то какова была сумма каждого ежемесячного платежа? Какова была истинная процентная ставка, которую с него взяли?"
580,"Компания ""Оуэнс Компани"" приняла к оплате драфт сроком на 90 дней на сумму 560 долларов, оформленный на них компанией ""Уоттс Бразерс"". Компания ""Уоттс Бразерс"" за 34 дня до истечения срока оплаты получила скидку в размере 6%. Какова была выручка?"
581,Трехмесячный вексель на 850 долларов с процентной ставкой 6% был продан со скидкой 6% через месяц после его выпуска. Какова была выручка?
582,Джеймс взял кредит в размере 240 долларов на 30 дней под 6% годовых. Сколько процентов ему пришлось заплатить?
583,"Мистер Озаку, 20 лет, недавно оформил полис обычного страхования жизни на сумму 5000 долларов. Если он будет выплачивать ежегодные страховые взносы до достижения 75-летнего возраста, сколько он будет выплачивать страховых взносов? Если он умрет, сколько получит его бенефициар?"
584,"Завод рассматривает возможность приобретения станка за 600 000 долларов, что, как ожидается, позволит ежегодно снижать производственные затраты на 200 000 долларов. Желаемая норма прибыли от этих инвестиций составляет 20%. Каким минимальным сроком службы должна обладать машина, чтобы обеспечить такую рентабельность?"
585,"Продавцу компании Filler Brush компенсируются расходы на его автомобиль в размере 8 текстовых центов за милю. Его постоянные расходы составляют 500 долларов, а переменные - 5 текстовых центов за милю. Сколько миль ему пришлось бы проехать, чтобы выйти на безубыточность (покрыть расходы), но при этом не получить прибыли сверх фиксированных затрат?"
586,"Первоначально игрушка стоила 2,25 доллара, а позже была снижена до 2,00 доллара. Найдите процент уценки."
587,"Джордж Хендерсон проработал на прошлой неделе 46 часов. Его зарплата: базовая ставка составляет 3,00 доллара в час, плюс полтора часа за сверхурочную работу. Каков был общий заработок Джорджа на прошлой неделе? Стандартная рабочая неделя составляет 40 часов."
588,"Мистер Берк приобрел три облигации по 5(1/4)% годовых номинальной стоимостью 1000 долларов КАЖДАЯ, проценты по которым выплачиваются раз в полгода. Сколько процентов он будет получать?"
589,"Театральная гильдия ремонтирует старый театр, надеясь использовать его в течение 15 лет. Гильдия может следовать одному из двух планов финансирования работ: План А заключается в использовании 5000 долларов, собранных от членов гильдии, для оплаты ремонтных работ, которые будут выполнены немедленно и продлятся 15 лет. План ""Б"" заключается в том, чтобы занять 2000 долларов за год до открытия театра, а затем в течение 5-го и 10-го лет существования театра отремонтировать его; каждая работа продлится пять лет. Процентная ставка по обоим планам составляет 6%. (а) Какому плану должна следовать гильдия? (б) Если, согласно плану Б, 2-е и 3-е ремонтные работы обойдутся в 3000 долларов КАЖДАЯ, и гильдия не сможет занять деньги ни для одной из трех работ (т.е. участники должны будут внести свой вклад), какому плану гильдии следует следовать?"
590,"Мистер Филдс рассматривает возможность продажи недвижимости, приобретенной 15 лет назад, за 65 000 долларов; 10 000 долларов были потрачены на землю, а 55 000 долларов - на здание. Теперь мистер Филдс может продать недвижимость за 120 000 долларов. Он также может оставить ее себе и продолжать получать ежегодную арендную плату за здание. Если мистер Филдс решит сохранить собственность, он сохранит ее еще на 25 лет, а затем продаст за 40 000 долларов. Ежегодные поступления от аренды составят 5 930 долларов в течение следующих двадцати пяти лет. Должен ли мистер Филдс продать свою собственность сейчас или через двадцать пять лет? Предположим, что здание, но не земельный участок, было амортизировано линейным методом в размере 2%, долгосрочная прибыль облагается налогом по ставке 25%, ставка налога на прибыль мистера Филдса составляет 56%, минимальная привлекательная норма прибыли после уплаты налогов составляет 2(1/2)%, и налоги будут действовать в течение следующих 25 лет. Произведите все расчеты с точностью до доллара."
591,"Какова дата погашения векселя, датированного 30 января, сроком на один месяц?"
592,"Необходимо изготовить цилиндрический контейнер объемом 10 кубических футов. Верх и низ контейнера должны быть изготовлены из материала стоимостью 2 доллара за квадратный фут, а боковые стенки контейнера - из материала стоимостью 1,50 доллара за квадратный фут. Найдите размеры, которые позволят свести к минимуму общую стоимость контейнера."
593,"Корпорация ""Джудит Франклин"" провела обучение на рабочем месте для 1240 сотрудников. Их расходы на обучение были следующими: обучение неполный рабочий день - 114 770 долларов, услуги уборщика - 6 080 долларов, книги - 12 370 долларов, расходные материалы - 4 160 долларов, разное - 6 150 долларов. Найдите стоимость обучения без отрыва от производства на одного сотрудника."
594,"В ""Стране игрушек Маргарет"" можно продавать x мешочков с шариками по цене p центов за пакет, где p = 20 - 0,03x. Если стоимость x сумок равна C = 3 + 0,02x, то сколько сумок должен будет продать магазин, чтобы максимизировать прибыль?"
595,"Фрэнк Брайант работает продавцом в компании Fast Cool Refrigerator Co. Ему компенсируются все командировочные расходы и предоставляется право на получение 600 долларов в месяц. Он получает ежемесячную комиссию в размере 2% от своих первых 30 000 долларов продаж, 2,5% от следующих 10 000 долларов продаж и 3% от всех продаж, превышающих 40 000 долларов. Найдите сумму, причитающуюся ему за месяц, в течение которого его командировочные расходы, оплаченные из собственного кармана, составляют 332,75 доллара, его рисунки - 600 долларов, а общий объем продаж - 41 180 долларов."
596,"1 апреля компания Douglas, Inc. получила вексель на сумму 6% годовых сроком на 90 дней на сумму 800 долларов США. 1 мая вексель был продан со скидкой 6%. Сколько на самом деле получила компания Douglas, Inc.?"
597,Магазин фотоаппаратов Bob's снизил цену на свой самый продаваемый фотоаппарат на 8(1/3)%. Первоначально фотоаппарат продавался по цене 65 долларов. Сколько сейчас стоит этот фотоаппарат?
598,"По облигации с доходностью 5% годовых выплачиваются проценты в размере 2,50 доллара США. Какова номинальная стоимость облигации?"
599,Как называется разница между активами и пассивами?
600,"Найдите количество отдельных рулонов, необходимых для оклеивания комнаты 18 футов в длину, 12 футов в ширину и 10 футов в высоту, с учетом 10% отходов бумаги. Один рулон состоит из 36 квадратных футов бумаги. Сделайте припуск на отверстия, которые включают в себя одно окно размером 3 на 8 футов и одну дверь размером 4 на 9 футов."
601,"Автомобильный страховой полис, приобретенный 10 марта со страховой премией в размере 155 долларов США, был аннулирован владельцем автомобиля 6 сентября. Какова была сумма возмещения по полису?"
602,"3 апреля Джим Смит перевел на свой сберегательный счет 792,81 доллара. 25 апреля он снял 260 долларов, а 5 мая внес на счет 200 долларов. Он внес $271,50 9 июня и $544,53 16 июня. Если проценты начислялись ежеквартально по ставке 5% со дня внесения депозита до дня снятия средств, какова была общая сумма на счете Джима на 1 июля?"
603,"Оптовики BaskowToys предлагают магазинам Albee новую куклу Captain Kirk со скидкой 25-20% от розничной цены. Если Albee Stores покупает каждую куклу за 2,10 доллара, по какой цене они будут продавать кукол, т.е. какова розничная цена?"
604,"Компания, занимающаяся поставками радиоприемников Magic-Voice, проводит инвентаризацию в конце года. Одним из товаров, имеющихся в наличии, является их трубка № 84А. Данные по этим тюбикам показывают следующее: Стоимость одного тюбика на складе на 1 января - 800 долларов.252 Закупка на 3 марта - 2000 долларов.247 Закупка на 5 июня - 1500 долларов.262 Закупка на 13 октября - 900 долларов.27 Закупка на 25 ноября - 600 долларов.272 Если количество этих тюбиков в наличии составляет 1700 штук, что будет в этом случае? какова стоимость запасов с использованием каждого из следующих методов? (a) Средняя стоимость (b) FIFO (c) LIFO"
605,"Каковы, по мнению Вуда (1991), три результата КСО?"
606, Что из перечисленного не является элементом комплекса маркетинга?
607," Что из перечисленного происходит, когда ценовая политика конкурентов почти полностью ориентирована на конкурентов, а не на клиентов?"
608," На первом этапе процесса внедрения потребители узнают о новом предложении. У них мало информации, и им еще предстоит выработать какое-либо определенное отношение к продукту. На самом деле, на этом этапе потребители не заинтересованы в получении дополнительной информации."
609,"Роберт работает маркетологом в международной компании по производству потребительских товаров. Он работает над рекламной кампанией, призванной охватить целевую аудиторию на новом международном рынке. Роберт прилагает все усилия, чтобы рекламная кампания была понятна потребителям страны и никого не оскорбляла. Какие факторы внешней среды оказывают на него влияние"
610," Это является частью процесса коммуникации и относится к ответам, предлагаемым получателями:"
611," Экономика — маркетинг должен способствовать долгосрочному экономическому развитию, в отличие от краткосрочного экономического развития."
612," Люди полностью погружаются в свое окружение и активно участвуют в нем, так что они влияют на реальные действия или события в окружающей среде. Это называется:"
613,"Что из перечисленного, как правило, не является результатом признания маркетологами важности этнических групп?"
614,Что означает аббревиатура SMART?
615,Что из перечисленного ниже не является характеристикой модели должностных характеристик?
616,Повышение удовлетворенности работой и производительности труда являются ключевыми характеристиками теоретической перспективы проектирования рабочих мест?
617,"Молодая пара внесла невозвращаемый депозит в размере арендной платы за первый месяц (в размере 1000 долларов США) при аренде квартиры на 6 месяцев. На следующий день они находят другую квартиру, которая им так же нравится, но ее ежемесячная арендная плата составляет всего 900 долларов. Они планируют проживать в этой квартире всего 6 месяцев. Стоит ли им переезжать в новую квартиру?"
618,"Если денежный поток в размере 100 долларов США имеет ставку дисконтирования 5% и должен быть получен через 5 лет, какова текущая стоимость этого денежного потока?"
619,"Ваша фирма пытается решить, стоит ли покупать компанию, занимающуюся разработкой программного обеспечения для электронной коммерции. Общий объем капитальных активов компании составляет 100 000 долларов: 60 000 долларов собственного капитала и 40 000 долларов долга. Стоимость собственного капитала компании составляет 10%, в то время как стоимость долга компании составляет 5%. Ставка корпоративного налога составляет 21%. Каков WACC компании?"
620,"Для биномиальной модели цены акции с одним периодом вам дается: (i) Период равен одному году. (ii) Акции не выплачивают дивиденды. (iii) u =1,433, где u - единица плюс коэффициент прироста капитала по акции в случае повышения цены.  (iv) d = 0,756 , где d - единица плюс коэффициент потери капитала по акции в случае снижения цены. (v) Постоянно увеличивающаяся годовая ожидаемая доходность акций составляет 10%. Какова истинная вероятность повышения цены акций?"
621,"Фирма, работающая в условиях жесткой конкуренции, запатентовала новый технологический процесс изготовления виджетов. Новый технологический процесс снижает средние издержки фирмы, а это означает, что только эта фирма (хотя и по-прежнему придерживается высоких цен) может получать реальную экономическую прибыль в долгосрочной перспективе. Предположим, правительственное исследование показало, что новый технологический процесс фирмы загрязняет воздух, и оценило социальные предельные издержки производства виджетов этой фирмой в SMC = 0,5q. Если рыночная цена составляет 20 долларов, то какой должна быть ставка государственного акцизного налога, чтобы обеспечить оптимальный уровень производства?"
622,"Индустрия копирования видеокассет, в которой существует высокая конкуренция, состоит из множества фирм, которые могут копировать пять кассет в день по средней цене 10 долларов за кассету. Каждая фирма также должна выплачивать роялти киностудиям, и ставка роялти за каждый фильм (r) является возрастающей функцией общего объема производства в отрасли (Q): r = 0,002Q. Спрос определяется как Q = D(P) = 1050-50 пенсов. Предполагая, что отрасль находится в долгосрочном равновесии, какой будет равновесная цена на кассеты с копиями?"
623,"Компания по производству экструдированных пластмасс распределяет накладные расходы между каждым из своих шести подразделений в соответствии с соотношением общих накладных расходов к общим прямым затратам на оплату труда. В январе общие накладные расходы фабрики составили 20 000 долларов, а общие прямые затраты на оплату труда - 140 000 долларов. Найдите соотношение, которое будет применяться ко всем отделам. Затем найдите сумму, подлежащую начислению отделу контроля качества, прямые затраты которого на оплату труда за месяц составили 16 000 долларов."
624,"Компания Armco Truck Rental Co. взимает за аренду своих грузовиков 32 доллара в день, 22 доллара за милю и 55 долларов за галлон бензина. Дополнительные часы работы в день оплачиваются по цене 2,75 доллара в час. Мистер Уильямс арендовал грузовик на 2 дня и 3 часа. Он проехал на нем 320 миль и израсходовал 30 галлонов бензина. Какова была общая стоимость поездки?"
625,"Сколько стоит арендовать компактный автомобиль на 2 дня и 4 часа и проехать на нем 364 мили? РАСПИСАНИЕ ПРОКАТА АВТОМОБИЛЕЙ Стоимость проезда по городу и в одну сторону в сутки Стоимость проезда в неделю Стоимость дополнительных часов работы Compact составляет 12,00 долларов США в день, 14 долларов США за милю, включая бензин, 60,00 долларов США в неделю, 14 долларов США за милю, включая бензин, 2,75 долларов США в час, свыше 24 долларов США, 14 долларов США за милю, включая бензин, Стандартные 16,00 долларов США в день, 16 долларов США за заправка за милю включала 80,00 долларов в день, 16 долларов за милю, 2,75 долларов в час свыше 24 часов, 16 долларов за милю, 20,00 долларов в день, 18 долларов за милю, 100,00 долларов в день, 18 долларов за милю, 2,75 долларов в час свыше 24 часов, 18 долларов за милю, МИНИМАЛЬНАЯ ПЛАТА за заправку: 24-часовое страхование по тарифу: (за день или любую его часть): Столкновение - 1,20 доллара; Ответственность - 1,20 доллара"
626,"Компания Adam Manufacturing Co. распределяет свои накладные расходы, используя соотношение общих накладных расходов к общей себестоимости. Если общие накладные расходы составляют 44 733 доллара, общие затраты на рабочую силу - 185 600 долларов, а общее количество использованных материалов - 54 900 долларов, найдите (а) процент накладных расходов от себестоимости, (б) накладные расходы отдела с себестоимостью 32 600 долларов."
627,"3 июня Шипли и Стар заказали у StereoElectonics одну партию портативных кассетных аппаратов стоимостью 987,70 долларов США. Счет-фактура был датирован 10 июня, а условия были (n/30) ROG. (а) На какую дату должен был бы быть произведен платеж, если бы машины были получены 30 июля? (b) Если были предложены условия (2/10), (n/30), оплата была произведена 4 августа, а счет-фактура был выставлен 30 июля, какова была выплаченная сумма?"
628,17 июля мистер И.Ф.Сарб приобрел страховой полис для своего дома на случай пожара с ежегодной премией в размере 32 долларов США. 22 сентября он аннулировал свой полис. Какова была сумма возмещения?
629,"Пол хочет знать, сколько именно процентов ему пришлось бы заплатить, если бы он взял кредит в размере 720 долларов с процентной ставкой 5% годовых с 25 апреля по 15 июня."
630,"Мужчина планирует выплатить кредит в размере 1000 долларов пятнадцатью равными ежегодными платежами. Процентная ставка составляет 4 процента. После десятого платежа он желает выплатить остаток единовременно. Предполагая, что он может сделать это без дополнительных штрафных санкций, сколько он должен?"
631,"Компания Handy Dandy Speakers продает каждое устройство компании Tech High-Fi по цене 299,50 долларов США со скидкой 36%. Сколько компания Tech High-Fi платит за каждый комплект, т.е. какова чистая цена?"
632,"Сколько наличных можно получить сейчас по кредиту в размере 4000 долларов, который можно погасить через три года с начислением процентов в размере (1/2)% в месяц?"
633,"Миссис Эш хочет открыть сберегательный счет для обучения своей дочери. Какую сумму она должна вносить ежегодно в течение 17 лет по ставке 5%, чтобы получить доход в размере 20 000 долларов?"
634,"Джоанна Мурман заняла 2000 долларов в кредитном союзе, где она работает, согласившись выплачивать проценты в размере 9% за фактическое количество дней, в течение которых кредит был непогашен. Деньги были взяты взаймы 12 апреля, а полная сумма, включая проценты, была выплачена 11 июля. а. За сколько дней миссис Мурман будет выплачивать проценты? б. Какова сумма процентов, подлежащих выплате? в. Какова общая сумма, причитающаяся по кредиту союз?"
635,"Сколько плиток размером 9 на 9 дюймов необходимо для покрытия пола длиной 9 футов и шириной 6 футов? Определите стоимость, если каждая плитка стоит 75 центов."
636,"Учитывая приведенную ниже информацию, какова рентабельность инвестированного капитала (с точностью до 1%)? Чистые инвестиции (31 декабря 1966 г.) $250 000 Чистые инвестиции (31 декабря 1967 г.) $350 000 Чистые продажи за год, закончившийся 31 декабря 1967 г. $600 000 Чистая прибыль за год, закончившийся 31 декабря 1967 г. $ 25 000"
637,"Кинокамеру стоимостью 98 долларов можно приобрести в рассрочку со скидкой 10%, при этом остаток средств будет выплачен в течение 24 еженедельных платежей по 4 доллара каждый. Какова годовая процентная ставка?"
638,"Боб Франклин купил новый автомобиль за 10 000 долларов. Срок службы автомобиля оценивается в 10 лет, и остаточной стоимости у него не будет. 10 На сколько будет обесцениваться автомобиль в течение седьмого года? Он использует метод суммы цифр за годы."
639,"Найдите стоимость розничных запасов на сумму 200 000 долларов в долларах, если наценка составляет 30% от цены продажи."
640,"Предположим, что Q - это показатель объема производства, K - это показатель используемого основного капитала, а L - это показатель численности занятой рабочей силы. Q =AK ^\betaL^\gamma - широко используемая форма производственной функции. Когда \beta + \ gamma = 1, это называется производственной функцией Кобба-Дугласа. Эта функция обладает многими удобными свойствами: предельные продукты труда и капитала положительны, если \beta и \gamma равны. Если \beta + \gamma = 1, функция имеет постоянную отдачу от масштабирования. То есть, если оба входных сигнала увеличиваются в одинаковой пропорции, выходная мощность будет увеличиваться в той же пропорции. Например, удвоение обоих входных сигналов приведет к удвоению выходной мощности. Обсудите, как концепция линейной регрессии может быть применена для оценки \beta и \gamma ."
641,"Компания Jacob and Sons Plumbing приобрела вилочный погрузчик за 10 000 долларов. Ожидается, что срок службы вилочного погрузчика составит 5 лет, а остаточная стоимость составит 3000 долларов. Джейкоб хочет использовать метод линейной амортизации, в то время как его сыновья хотят использовать метод суммы цифр за годы. Какова будет разница в амортизационных отчислениях на третий год?"
642,"Доктор Франкель купил новый рентгеновский аппарат за 4000 долларов. Расчетный срок службы машины составляет 5 лет, по истечении которого ее восстановительная стоимость составит 800 долларов. Доктор Франкель хочет использовать метод убывающего остатка для расчета амортизации машины. Он будет использовать 40% в качестве нормы амортизации. Рассчитайте амортизацию за каждый год."
643,"Стеклянная ваза продается по цене $25,00. Чистая прибыль составляет 7%, а операционные расходы - 39%. Найдите валовую прибыль от продажи вазы."
644,"Выразите налоговые ставки (А) 3,06% (Б) 6,85% в миллионах за доллар оценочной стоимости."
645,"Менеджер компании обнаружил, что функция выручки компании равна R = 90 \surd(2X), где X - количество произведенных единиц, а функция затрат равна C = 3X + 1200. Найдите точку безубыточности и количество единиц продукции, которое необходимо произвести (с точки зрения неравенства in), чтобы получить прибыль."
646,"Служба проката грузовиков Grey's в настоящее время взимает 180 долларов в неделю за использование одного из своих передвижных грузовиков. В настоящее время мисс Грей сдает в аренду в среднем 200 грузовиков в неделю. По ее оценкам, спрос снизится на 1 грузовик в неделю, если она повысит стоимость аренды на 1 доллар за грузовик. Какова цена, которая позволит максимизировать доходы?"
647,"Письменный стол стоимостью 125 долларов США можно приобрести в рассрочку с первоначальным взносом в размере 16,25 долларов США и 16 ежемесячными платежами по 7,50 долларов США. Рассчитайте соответствующую процентную ставку."
648,"Мистер Престон купил новую машину за 4500 долларов. Он пользовался машиной восемь лет, а затем продал ее за 475 долларов. (а) Какова была общая стоимость? (б) Какова была средняя годовая амортизация?"
649,"Мэри О'Грейди недавно отработала 44 часа в обычную рабочую неделю (с понедельника по пятницу). Кроме того, она проработала 4 (1/2) часа в субботу и 3 часа в воскресенье. Полторы ставки выплачиваются за все часы, отработанные более 40 часов в течение обычной недели, и за всю работу в субботу. За все часы, отработанные в воскресенье, выплачивается двойная ставка. Каков был ее общий заработок за неделю, если ее обычная ставка составляет 3,10 доллара в час?"
650,"Перевозка одного фунта товара на 100 миль обходится в 5,00 долларов, а перевозка одного фунта товара на 700 миль - в 28,50 долларов. Предполагая, что зависимость между стоимостью перевозки и пробегом является линейной, найдите функцию, описывающую эту зависимость. Сколько стоит перевозка товара на 200 миль за фунт? 400 миль?"
651,"В двух конкурирующих универмагах есть радиоприемник стоимостью 10,82 доллара. В рекламе обоих магазинов указано, что они продают радиоприемник с 70-процентной наценкой. Однако магазин A устанавливает наценку исходя из продажной цены, в то время как магазин B - из себестоимости. Какова отпускная цена радиоприемника в этих двух магазинах?"
652,"Джеймс Милфорд в этом году потратил на чай 348,88 долларов. Чай продается по цене 98 долларов за килограмм, сколько килограммов купил Милфорд?"
653,Компания Smart Calculator Corp. имеет общие затраты в размере 15 700 долларов на производство 700 калькуляторов и 16 000 долларов на производство 1000 калькуляторов. Найдите их переменные и постоянные затраты.
654,"Мистер Окада владеет домом стоимостью 28 750 долларов в городе, где дома оцениваются в 38% от их рыночной стоимости. Если мистер Окада платит налоги на недвижимость по ставке 8,42 доллара за 100 долларов, а 47% его налогов на недвижимость тратится на образование, то какая часть его налогов идет на образование?"
