,questions_ru
1613,"Какие есть доказательства того, что существуют специализированные звуковые детекторы человеческой речи?"
1614,Что такое экспериментальный контроль? Почему важно проводить экспериментальный контроль?
1615,Обсудите взаимосвязь между возбуждением и мотивацией.
1616,"Согласно Пиаже, дети - это ___________."
1617,"Кандидаты-женщины неизменно получают более низкие баллы на отборочных тестах, чем кандидаты-мужчины. Однако при приеме на работу женщины справляются с работой так же хорошо, как и мужчины. Эта ситуация иллюстрирует, что из перечисленного ниже?"
1618,"С поведенческой точки зрения, фобические реакции на безобидные объекты или события приобретаются, когда эти объекты или события ассоциируются со стимулом, который естественным образом вызывает реакцию страха. Другими словами, фобические реакции возникают из-за:"
1619,Какая из перечисленных функций имеет тенденцию к наибольшему снижению с возрастом
1620,"Задания для теста на квалификацию двух машинистов были основаны на анализе работы двух машинистов на 50 заводах, на каждом из которых работают пять или более машинистов, выполняющих сопоставимую работу. Такая процедура непосредственно повлияла бы на эффективность теста."
1621,"Ознакомление отдельных лиц с аргументами против их взглядов, которые затем решительно опровергаются, может привести к"
1622,"Когда проводится качественное исследование, теория разрабатывается на основе полученных данных, а не до этого, и помогает уточнить гипотезы. Исходя из ваших знаний об этом типе исследований, какое из следующих утверждений о тематических ИССЛЕДОВАНИЯХ может быть неверным?"
1623,Наиболее распространенным методом лечения СДВГ является медикаментозное лечение с использованием стимуляторов ЦНС. Какое из приведенных ниже утверждений неверно в отношении лечения СДВГ?
1624,"35-летний пациент психолога признался в сексуальном домогательстве к девятилетнему ребенку, живущему по соседству. Этот пациент ранее сталкивался с подобным поведением. Психолог должен"
1625,Процедуры “тайм-аута” при манипулировании поведением основаны на концепции обусловливания
1626,Одностороннее повреждение левого (доминантного) полушария с наименьшей вероятностью приведет к неспособности:
1627,Какая из перечисленных ценностей наименее характерна для азиатов и американцев азиатского происхождения?
1628,Что из перечисленного относится к сильной организационной культуре?
1629,Каковы аспекты первичной профилактики?
1630,При аверсивном противодействии сексуальному фетишу с использованием электрического разряда условным стимулом является
1631,"В классной комнате поведение, которое является явным, не имеет четкого начала и конца и встречается с умеренной частотой, лучше всего оценивается с помощью одного из следующих методов записи наблюдений"
1632,"Психолога вызывают в суд для дачи показаний о клиенте, проходящем курс лечения. Это означает, что психолог:"
1633,"К _____ годам дети начинают сознательно и регулярно использовать репетицию, проработку и организацию в качестве стратегий запоминания."
1634,Что из приведенного ниже является лучшим примером постоянной ошибки
1635,Какой из следующих терминов является лучшим синонимом валидности теста
1636,Лепет обычно начинается примерно в возрасте 4-5 месяцев и первоначально включает в себя:
1637,"В соответствии со стандартами образовательного и психологического тестирования, при интерпретации результатов тестирования и представлении отчетов о них необходимо"
1638,У человека с афазией Вернике нарушено понимание речи и:
1639,Я-концепция - это вера индивида в свои собственные качества. Что может произойти в соответствии с ГИПОТЕЗОЙ ЧРЕЗМЕРНОГО ОПРАВДАНИЯ?
1640,Ключевым достижением предоперационного этапа Piaget является появление:
1641,Одним из ключевых признаков для постановки дифференциального диагноза между нервной булимией и нервной анорексией является:
1642,"Школьный психолог обеспечивает обратную связь с родителями учащегося относительно его успеваемости в школе. Чтобы объяснить концепцию эквивалентности оценок, школьный психолог должен объяснить, что это"
1643,"Юпитер тестирует свою новую шкалу перфекционизма на уроке психологии в старшей школе. Месяц спустя он возвращается, чтобы провести тот же тест с теми же учениками, а затем сопоставляет два набора результатов. Что, вероятно, делает Юпитер?"
1644,"На каком из этапов когнитивного развития, описанных Пиаже, у детей развиваются внутренние репрезентативные системы, которые позволяют им словесно описывать людей, события и чувства?"
1645,"Водитель автомобиля, который остановился рядом с вами на красный сигнал светофора, увеличивает громкость своего радиоприемника. Усиление звука, которое вы ощущаете, в первую очередь связано с"
1646,"Каждый раз, когда вы покупаете мороженое в кафе-мороженом на Йеллоу Брик Роуд, вы получаете карточку ""За радугой"" с печатью. Купив десять наименований, вы получаете следующее блюдо бесплатно. В кафе-мороженом на Йеллоу Брик роуд вы знаете, по какому из следующих графиков вы будете получать дополнительные блюда?"
1647,"Что из перечисленного ниже является лучшим примером признака, основанного скорее на культуре, чем на психологии?"
1648,"Завершите следующий пример, используя дедуктивные рассуждения: Все учащиеся школы Педди изучают латынь. Некоторые учащиеся, изучающие латынь, также изучают математику. Джером учится в школе Педди. Таким образом, можно определить, что"
1649,Передачу нервных импульсов часто описывают как электрохимический процесс. Что из перечисленного наиболее непосредственно связано с электрическим аспектом?
1650,Исследования показали возможную связь между нейромедиатором ацетилхолином и каким из следующих психических расстройств?
1651,"Какой термин описывает феномен, когда группы единомышленников занимают более экстремальные позиции, чем отдельные лица, входящие в эту группу?"
1652,"Чем больше различий проявляется в поведении однояйцевых близнецов, выросших порознь, тем больше различий в их поведении можно объяснить их"
1653,Коэффициент интеллекта определяется как
1654,"Джаред считает, что посещение лекций по психологии - пустая трата времени, и что с таким же успехом можно пройти курс, если просто прочитать обзорную книгу, посмотреть ""Знакомство с психологией"" и пройти тесты. Он решает проверить свою гипотезу с помощью эксперимента. Независимой переменной в его эксперименте является"
1655,Поведенческая терапия обычно изменяет модели реагирования клиентов с помощью
1656,"Мария, способная ученица старших классов, боится успеха. В какой из перечисленных ниже колледжей она, скорее всего, поступила бы?"
1657,Перечислите и определите три подхода к изучению психологии развития.
1658,Каковы две основные функции спинного мозга? Обсуждать.
1659,Дайте определение удовольствию. Проследите его развитие от младенчества до подросткового возраста. Чем объясняется чувство юмора? Какие ситуации вызывают улыбку и смех у взрослых?
1660,Каковы наиболее важные статистические данные по выборке? К каким распределениям они относятся?
1661,"Если две субкультурные группы имеют разный средний показатель IQ (например, чернокожие и белые), можно ли из этого сделать вывод, что наследственность является наиболее важным и влиятельным фактором, определяющим интеллект?"
1662,"Что такое тест ""Нарисуй человека"" (DAP)?"
1663,"Какие данные подтверждают теорию о том, что кратковременная память по своей сути является слуховой?"
1664,"Обсудите два подхода, которые могут быть использованы при изучении раннего овладения языком."
1665,Что делает тот или иной материал для изучения значимым и как его осмысленность влияет на скорость усвоения?
1666,В чем разница между дискретными и непрерывными двигательными задачами?Какие из них легче запомнить через определенный промежуток времени?
1667,Опишите структурную теорию овладения языком. Дайте определение порождающей грамматики.
1668,"Девять крыс бегут по лабиринту. Записывается время, затраченное каждой крысой на прохождение лабиринта, и это время указано ниже. 1 мин., 2,5 мин., 3 мин., 1,5 мин., 2 мин., 1,25 мин., 1 мин., .9 мин., 30 мин. Какой из трех показателей центральной тенденции был бы наиболее подходящим в данном случае?"
1669,В чем разница между сознанием и осознанностью?Дайте определение автоматическому поведению.
1670,Обсудите последствия недосыпания.
1671,Чем двигательные или активирующие коды отличаются от визуальных или вербальных кодов? Проиллюстрируйте это примерами.
1672,"Из выборки данных 5, 8, 2, 1, lf вычислите стандартное отклонение выборки."
1673,"Что подразумевается под катарсисом? Почему сторонники теории катарсиса утверждают, что агрессию можно контролировать?"
1674,Что говорят результаты исследований с близнецами о влиянии наследственности на личность?
1675,"Согласно Йеллинеку (1952), как обычно протекает жизнь алкоголика?"
1676,Как изменилось отношение психологов к младенцам за прошедшие годы?
1677,"Когда психологи начали изучать влияние средств массовой коммуникации, они увидели необходимость проводить различие между образованием и пропагандой. Существует ли такое различие, и если да, то в чем оно заключается?"
1678,"Если бы вас наняла крупная компания для разработки новой программы обучения, вашим первым шагом, вероятно, было бы проведение:"
1679,"Исследователь, заинтересованный в изучении потенциального влияния алкоголизма родителей на развитие детей и семьи, набирает 12-летних (n = 100), 13-летних (n = 100) и 14-летних (n = 100) подростков, половина из которых имеет родителей-алкоголиков, а половина из тех, кто этого не делает, — в многолетнее лонгитюдное исследование, оценивающее различные результаты. Это исследование лучше всего охарактеризовать как:"
1680,"Определите единственную конструкцию, которая не имеет отношения к моделям развития интеллекта:"
1681,"При выполнении(n) ________ задачи члены группы выбирают решение, предложенное одним из членов группы, в качестве группового."
1682,Что из перечисленного справедливо для общения в условиях низкого контекста?
1683,"Чтобы уменьшить враждебность между группами учащихся младших классов средней школы, вам лучше всего посоветовать:"
1684,"Основная цель недавно разработанной общинной программы охраны психического здоровья - помочь людям, недавно выписавшимся из психиатрической больницы, приспособиться к жизни в обществе. Это пример:"
1685,"Согласно МОДЕЛИ СИТУАЦИОННОГО ЛИДЕРСТВА ХЕРСИ и БЛАНШАРА, стиль лидера описывается с точки зрения ориентации на задачи и взаимоотношения, а оптимальный стиль зависит от уровня подготовки сотрудников и подчиненных. Как вам стиль делегирования?"
1686,"Согласно теории когнитивного диссонанса, в ситуациях вынужденного подчинения происходит более сильное изменение убеждений"
1687,"__________ это коммуникативное расстройство, которое характеризуется трудностями в регулировании темпа, ритма, высоты тона и громкости речи."
1688,"Исследования, посвященные вмешательству посторонних лиц, показывают, что человек, попавший в чрезвычайную ситуацию, с наибольшей вероятностью получит помощь, когда количество посторонних лиц будет минимальным."
1689,"Представление о том, что есть три основные жизненные задачи – дружба, профессия и любовь, – наиболее соответствует философии:"
1690,По окончании обширной программы обучения руководство может рассчитывать на получение чата
1691,"Сотрудник ожидает от своего начальника большей последовательности в поведении, чем это оправдано. Что из перечисленного лучше всего объясняет ожидания сотрудника?"
1692,"Тренинг по преодолению стресса включает в себя как обучение навыкам, так и модификацию неадаптивных когнитивных способностей. Какой из следующих этапов неверно определен молодым неопытным терапевтом:"
1693,"Хотя некоторым пациентам может быть необходима одновременная индивидуальная и групповая терапия, многие терапевты не поддерживают ее. Одна из основных проблем заключается в том, что"
1694,"В какой из перечисленных ниже психотерапевтических процедур самораскрытие, проводимое психологом, является специально рекомендуемой и часто применяемой техникой"
1695,"Какие из перечисленных ниже симптомов с наибольшей вероятностью вызывают симптомы, сходные с симптомами тревоги"
1696,"Вы могли бы использовать конструкцию из четырех групп Соломона для того, чтобы:"
1697,"По сравнению с людьми в возрасте от 20 лет, что из перечисленного является преимуществом в том, чтобы иметь детей после 30 лет?"
1698,"Когда для оценки программы используется модель временных рядов, колебания в наклоне результатов могут быть объяснены различными альтернативными гипотезами. Согласно Кэмпбеллу и Стэнли, наиболее вероятной альтернативой является то, что"
1699,"Правильным утверждением о раннем лепете младенцев в разных языковых сообществах является ""болтай без умолку"""
1700,Близорукость возникает в результате
1701,"Какой из следующих типов данных включает подсчет количества случаев поведения, наблюдаемых в течение определенного периода времени?"
1702,Что из приведенного ниже представляет собой правильный порядок передачи звукового сигнала с момента первого прослушивания звука до момента его обработки мозгом?
1703,"В рамках основанного на кодах звукового подхода к раннему обучению чтению учащихся первого класса знакомят со звуками букв b, a, s и g. Согласно теории, лежащей в основе этого подхода, какое из следующих предложений будет наиболее эффективным в качестве первого предложения, которое учащиеся будут читать?"
1704,Свет попадает в глаз через отверстие в
1705,"Комплексному выпускному экзамену по психологии поведения, состоящему из вопросов, касающихся исключительно мотивации и эмоций, социальной психологии и биологических основ поведения, не хватает"
1706,Какой из перечисленных ниже видов терапии с наибольшей вероятностью был бы использован соматическим терапевтом?
1707,"В мультфильме ангел сидит на одном плече, а дьявол - на другом у персонажа, которому нужно решить, давать деньги бездомному или нет. Дьявол говорит: ""Не давайте ему ничего, вы лучше распорядитесь деньгами, чем он"". Ангел говорит: ""Отдайте ему деньги, потому что он нуждается в них больше, чем вы"". Персонаж отдает бездомному половину своих денег. Во фрейдистской интерпретации ангел олицетворяет характер персонажа."
1708,"Психолога, интересующегося тем, происходит ли развитие поэтапно, больше всего интересует, какие из следующих противоречий вызывают у него наибольший интерес?"
1709,"Несмотря на несогласие с его личными изменами, многие американцы поддерживали позицию президента Билла Клинтона и его политические решения во время его президентского срока. Эта дихотомия мнений демонстрирует раскол в"
1710,"Каково значение медианы для чисел 5, 8, 12,3, 9?"
1711,Перечислите и опишите этапы психосоциального развития Эриксона.
1712,"Если вы будете тереть глаза достаточно долго и усердно, то в конце концов увидите какую-то визуальную картину. Объясните это явление."
1713,Обсудите и проведите различие между дискретными и непрерывными значениями.
1714,Обсудите преимущества и недостатки проведения полевых и лабораторных исследований с участием людей.
1715,"Найдите режим выборки 14, 16, 21, 19, 18, 24 и 17."
1716,"Объясните развитие личности, которая, по мнению Роджерса, психологически плохо приспособлена."
1717,"Обычно можно ожидать, что яркость объекта будет увеличиваться по мере отражения от него большего количества света, однако воспринимаемая яркость объекта также зависит от поля, которое его окружает. Обсудите это явление, включая метод его демонстрации."
1718,Стимулирование заработной платы не всегда является осуществимым или эффективным способом улучшения работы или поведения сотрудников. Обсудите ограничивающие условия для эффективности этой программы.
1719,Что такое программа стимулирования оплаты труда?Опишите обычно используемый план стимулирования.
1720,"Учитывая следующий набор несгруппированных измерений 3, 5, 6, 6, 7, и 9, определите среднее значение, медиану и моду."
1721,Какими факторами обусловлены индивидуальные различия в решении проблем?
1722,"Обсудите переменные, которые определяют, будет ли перевод положительным или отрицательным."
1723,Опишите три основных метода измерения и анализа пороговых значений.
1724,"Опишите, какую роль играет созревание в ""готовности"" или потенциальной возможности развития определенной способности."
1725,Обсудите топическую организацию нашей слуховой системы.
1726,Обсудите функцию теории личности.
1727,Обсудите взаимосвязь между наказанием и исчезновением.
1728,"Ссылаясь на конкретные исследования, обсудите, что говорят результаты исследований близнецов о роли наследственности в развитии шизофрении."
1729,Объясните взаимодействие интенсивности и частоты при восприятии громкости и высоты тона.
1730,Чем валидность лица отличается от валидности контента?
1731,Какое из следующих утверждений отражает взаимосвязь между старением и сексуальным функционированием
1732,"Психолога, у которого уже сложились терапевтические отношения с ребенком, просят выступить в качестве свидетеля-эксперта в бракоразводном процессе, связанном с опекой над ребенком. Лучшим решением для психолога было бы::"
1733,"Статистическая регрессия представляет потенциальную угрозу внутренней достоверности исследования, когда:"
1734,"Основное преимущество распределения оценочных характеристик по принципу принудительного выбора при служебной аттестации заключается в том, что оно"
1735,"Теории атрибуции обеспечивают основу для важных типов информации, используемых для оценки поведения. Одна из теорий описывает, как люди определяют объяснения личностных характеристик людей на основе поведенческих данных. Эта теория является ___________."
1736,"16-месячный ребенок, который называет свою любимую кошку “китти”, впервые видит собаку и называет ее “китти”. С точки зрения теории когнитивного развития Пиаже, ребенок демонстрирует:"
1737,"Действующие правовые и этические стандарты требуют, чтобы на каждого пациента велась запись о лечении. Как минимум, эта запись о лечении должна включать"
1738,"Что из перечисленного опирается на внутренние ресурсы, чтобы справиться с проблемой?"
1739,Студенты вводного курса психологии должны принять участие в одном из текущих исследовательских проектов университета. Эта практика является:
1740,"Эмпирическая литература показывает, что, когда матери рассказывают о развитии и социальной жизни своих детей, их воспоминания о них наиболее точны."
1741,"Аспирантка разработала и провела исследовательский проект для своей диссертации, а затем написала статью в журнале, описывающую исследование и его результаты. Первоначальная идея исследования была основана на работе преподавательского состава, который также обеспечил условия для исследований студента. Научный руководитель факультета хочет, чтобы он был указан в качестве первого автора статьи, когда она будет опубликована. В этой ситуации:"
1742,"Один из родителей, не являющийся опекуном, спрашивает доктора Максин Миллер, школьного психолога, о результатах тестов, которые она недавно провела для его сына-пятиклассника. Если доктор Миллер выполнит просьбу отца, она будет действовать:"
1743,"Например, существует несколько различий между параметрическими и непараметрическими статистическими тестами. Непараметрические статистические тесты менее эффективны, чем параметрические тесты. Исходя из ваших знаний о параметрических тестах, какое утверждение может быть неверным?"
1744,"Какой из перечисленных ниже основных принципов не используется при проведении мотивационного собеседования, когда вы помогаете пациенту разрешить амбивалентность, укрепить приверженность делу и прийти к решению измениться:"
1745,"Группа А состоит из людей, чьи интересы в значительной степени совпадают с интересами инженеров, группа В состоит из людей, чьи интересы в значительной степени отличаются от интересов инженеров. Какое из следующих утверждений было бы обоснованным, учитывая, что и группа А, и группа В поступили на инженерный факультет"
1746,"Какие из следующих подгрупп женщин, как было показано, чаще всего пользуются услугами по предотвращению самоубийств"
1747,При отборе персонала коэффициент отбора определяется как
1748,"38-летний мужчина боится ездить в общественном транспорте. Программа лечения, которая основана на постепенном привыкании к поездкам на автобусе с увеличением количества поведенческих действий в реальной жизни в ходе испытаний, называется"
1749,Теория Пиаже описывает этапы когнитивного развития ___________.
1750,"Просьба к человеку, страдающему ожирением, ограничить прием пищи определенными ситуациями, такими как определенное место на кухне в определенное время суток, лучше всего описывается как пример"
1751,"В теории социального обучения Бандуры концепция подкрепления имеет решающее значение для объяснения того, как в отсутствие внешнего вознаграждения"
1752,"Для какой из следующих профессий организационный психолог, скорее всего, порекомендовал бы использовать тренинг ""вестибюль""?"
1753,"В каком типе исследований не проводится манипулирование результатами исследования, а переменные просто измеряются, а не манипулируются? Исходя из ваших знаний о проектах и стратегиях исследований, выберите правильный ответ."
1754,"Одной из ключевых тем дискуссий на ранних этапах развития психологии развития был так называемый спор ""Природа против человека"". Поддерживайте дискуссию. Ученые сошлись во мнении, что между этими двумя факторами существует взаимодействие, но относительно степени этого взаимодействия возникли серьезные разногласия. Какой из следующих терминов, относящихся к генетическим изменениям или изменениям, вызванным окружающей средой, описывает различия в сроках физических изменений, которые наблюдаются у детей, принадлежащих к разным группам?"
1755,Исследование ___________ помогло нам понять парадоксальное вознаграждение.
1756,Маленький кусочек мясного порошка во рту собаки принадлежал Павлову ___________.
1757,___________ влияет на внутреннюю валидность и ___________ влияет на внешнюю валидность.
1758,Какой из следующих критериев оценки не используется для определения достоверности симптомов или симуляции?
1759,"Исследование модели развития белой расовой идентичности Хелмса предполагает, что белый терапевт обычно добивается наибольшего успеха при работе с клиентом из группы этнических/расовых меньшинств, на какой стадии находится психотерапевт?"
1760,Поведенческие методы лечения депрессии обычно включают:
1761,"Модель развития расовой/культурной идентичности Аткинсона, Мортена и Сью (1993) предполагает, что на каком из следующих этапов люди начинают сомневаться в своем неприятии всех аспектов доминирующей культуры и абсолютной верности своей собственной культуре?"
1762,"Согласно теоретикам атрибуции, ошибка, которую наблюдатели допускают при формулировании причинно-следственных связей в отношении поведения других людей, заключается в"
1763,"Теория ожиданий предсказывает, что мотивация работников зависит от нескольких факторов, включая “валентность”, которая относится к:"
1764,"Существует несколько методов оценки надежности теста, таких как, например, надежность ВНУТРЕННЕЙ СОГЛАСОВАННОСТИ. Исходя из ваших знаний по этой теме, найдите правильное ее определение."
1765,"Год назад семилетняя ученица приехала в Соединенные Штаты из страны, где не говорят по-английски, и добилась высоких результатов по чтению. За год она стала свободно говорить на социальном английском. После нескольких месяцев обучения во втором классе на одном языке по-английски учительница направляет ее на аттестацию, потому что у нее большие трудности с базовым чтением, используемым в классе. Два теста на знание английского языка, которые провела ученица, показали, что ее результаты в устной речи и аудировании выше среднего уровня для одноязычных сверстников, но значительно ниже среднего уровня в чтении и письме. Она также значительно выше среднего уровня для сверстников в тестах по чтению на родном языке. Основываясь только на этой информации, какая из приведенных ниже интерпретаций является наиболее точной?"
1766,"Куинн очнулся ото сна, дрожа и весь в поту. Когда жена спросила его, что произошло, он сказал, что ему приснилось, будто он падает и разбивается насмерть. Переживания Куинна часто классифицируют как"
1767,"По дороге в школу Элиза слышит по радио о розыгрыше билетов на концерт. Она должна быть седьмой, кто позвонит, чтобы выиграть. Съезжая на обочину, чтобы позвонить, она несколько раз повторяет про себя номер. Элиза использовала что-то из перечисленного, чтобы запомнить номер телефона?"
1768,"В методике Павлова по воспитанию собак момент, когда у собак выделялась слюна при звуке звукового сигнала без присутствия пищи, называется"
1769,"За месяц до финалов Конрад составляет расписание занятий и начинает просматривать свои записи. За две недели до финалов Конрад ежедневно занимается по нескольку часов в день, чтобы подготовиться. Сразу после финалов, в начале летних каникул, Конрад заболевает гриппом. Какая из приведенных ниже теорий лучше всего объясняет эту цепочку событий?"
1770,"Информация, поступающая от зрительного нерва, первоначально обрабатывается в какой части мозга?"
1771,"Терапевт Эми утвердительно качает головой и говорит: ""Да, угу"", когда Эми рассказывает о своих проблемах. Какое из перечисленных ниже видов лечения она проходила?"
